Country,IH,AIH,A,Kd,SV,R,SA,SE,Rb,Brg,BrgPRP,Th,ThMV,Drg,Frd,Crp,Br,ML,Acomp,OCGParticip
Belgium,145,1005,55494,:,9046,3738,5308,3313,11828,47426,33775,156440,9107,61615,93510,4297,68,5524,9350,312
Bulgaria,66,32,2657,81,568,109,459,:,1002,5344,4736,27036,420,4915,1671,486,118,48,48,89
Czechia,57,68,3892,11,1453,639,791,666,1248,20661,5512,45638,6087,4191,7952,1689,115,556,1287,18
Denmark,51,151,1871,:,5370,2175,3195,1901,1635,38493,27139,142042,264,31221,53864,3873,13,1184,:,:
Germany,719,1773,130453,4565,41079,10122,30957,23157,33872,298357,75023,931793,42906,365753,808074,4170,4170,8942,14416,594
Estonia,37,13,77,0,310,152,158,:,113,:,582,6863,108,3701,1845,81,40,21,255,3
Ireland,33,19,4249,106,2582,1027,1555,458,1403,10582,:,48777,2586,22202,5862,6,:,:,71,:
Greece,73,129,1285,73,192,172,12,104,2541,13892,6425,60947,15400,12823,4059,607,64,34,367,395
Spain,298,980,16002,76,11112,1596,9516,1846,45263,106106,72380,104521,19946,17112,360551,762,47,310,6243,1317
France,692,3300,316633,:,56374,25550,30824,11416,58200,279437,:,1174596,:,217736,232572,2287,204,1899,13807,1651
Croatia,40,108,743,1,596,302,265,360,632,8936,3237,10418,703,9216,2507,538,61,21,1033,28
Italy,285,876,54545,117,4918,:,:,2515,20479,:,109503,625641,101042,33876,283686,3770,409,1857,17990,602
Cyprus,15,16,136,2,30,28,2,164,78,872,:,513,:,846,244,13,11,:,174,0
Latvia,93,20,596,12,309,202,115,224,435,3803,833,12799,748,1975,1731,182,121,415,5,:
Lithuania,99,11,150,1,126,72,54,482,479,1224,1224,9447,568,2940,2688,551,313,83,460,10
Luxembourg,2,96,486,42,289,104,:,:,472,2984,1076,9258,254,4619,1475,5,5,:,:,36
Hungary,77,92,:,11,504,504,:,371,608,:,:,50441,:,6504,15451,2377,2025,301,4301,:
Malta,6,4,183,0,89,17,72,:,128,1036,623,4578,230,168,811,16,1,105,320,0
Netherlands,121,:,5215,520,4010,2055,1955,455,7295,49835,31585,204755,27015,12830,:,5885,:,1871,:,:
Austria,54,133,3549,3,4141,1684,2135,1917,2137,48437,6521,84734,3107,40785,54410,2879,37,527,12585,94
Poland,261,329,5377,:,2939,568,360,6539,5288,74502,18265,98519,11089,66550,138187,7505,5065,649,6115,872
Portugal,81,:,576,254,2434,315,2119,499,8976,19133,9168,65159,8684,3966,37003,154,62,47,1672,5
Romania,256,335,229,328,1914,1595,319,878,3849,25741,15258,87818,1682,6610,11222,3414,679,240,1203,489
Slovenia,11,34,1443,3,377,46,43,:,255,8281,2674,16148,599,1369,3379,312,298,:,222,1
Slovakia,63,:,1271,52,621,92,59,22,325,3725,951,11441,982,1513,1984,131,66,77,62,10
Finland,95,383,1754,3,4062,1518,2544,874,1995,7790,4724,134831,6466,36860,47132,4041,267,594,1594,3
Sweden,124,1085,5290,:,21144,8884,11567,4954,8812,81140,39244,311038,21372,126245,278954,19791,152,9303,8949,:
Iceland,3,5,132,:,520,158,48,:,75,1059,388,3503,29,1730,673,:,:,288,:,:
Liechtenstein,1,:,86,0,11,3,:,:,4,59,:,133,6,1058,176,10,:,58,:,:
Norway,31,87,1786,:,5060,2234,2389,1259,958,:,:,86519,4061,25798,18998,40,:,157,:,:
Switzerland,47,206,670,6,2909,713,683,1669,1949,32819,18405,121322,9820,68600,20986,21,20,3070,:,42
England and Wales,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Scotland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Northern Ireland (UK),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Bosnia and Herzegovina,42,67,640,1,194,18,146,14,520,4680,549,3669,300,3756,543,903,339,44,63,88
Montenegro,16,37,129,:,27,9,14,:,48,439,:,320,33,281,58,154,6,40,5,111
North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Albania,52,114,152,5,145,65,80,96,82,:,894,3162,199,2099,798,847,161,417,107,15
Serbia,76,124,5796,4,486,93,393,107,846,9499,3729,15228,711,10769,1240,746,180,114,:,:
Turkey,1958,:,:,:,:,:,7760,:,11267,95783,58400,198115,32509,:,:,:,:,:,:,:
Kosovo*,28,115,274,15,:,60,56,:,167,3839,:,4224,116,1213,468,:,40,4,:,5
