,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
IH,0.2764182400637624,0.27747960998941923,0.34616908511342614,0.4704397015245955,0.5335657543872412,1.0149056891413433,1.0173443411346803,1.0227770539196817,1.0227770632932416,1.0229006396796607,1.0229092308641428,1.0246684335705094,1.0247299811710706,1.0248203795425765,1.0248671212974307,1.024971432776249,1.0249778011132793,1.0249778870873734,1.024998732082349,1.0250000000000015
AIH,0.8632438311510249,0.972962037761265,0.976839153632464,0.9950610711584948,0.9953344697018895,0.9957291235094967,0.9959234865422465,0.9972470314360091,0.9999105887155693,1.0029199227156995,1.00808715694778,1.0086185503407434,1.0181190030042653,1.0183574447962285,1.0216332888368862,1.0248618152489855,1.0248662599544782,1.0249644390038721,1.0249974127605226,1.0249999999999995
A,0.7168982252648293,0.9659441912155575,0.9663828480888703,0.9669055261787926,0.9675326941844855,0.9707129151733325,1.0084324812634848,1.0111056853600588,1.0169071408389498,1.016960295949348,1.0177803579262465,1.017782997932537,1.01903342345229,1.0204664922684379,1.0209932885370905,1.0224728386155055,1.0247440475088034,1.024753649369759,1.0249802780671007,1.024999999999999
Kd,0.48053883486859006,0.6819821872129069,0.8528300192496142,0.9357391491501543,0.9688031005277674,0.9859208916372117,0.9908822586096512,0.9932983602191358,1.0001561875621203,1.0038091834640188,1.008236779974473,1.0106774893613877,1.0240166831077653,1.0247835702467212,1.0247854198082211,1.0248884421640554,1.0249722276766164,1.024985566202038,1.024988751936363,1.0250000000000006
SV,0.9067686717872304,0.977910587945677,0.9996823914916342,1.0131813137165202,1.015477282541796,1.015547229576499,1.015777308687824,1.0160703740394748,1.0177139396069064,1.018612267072274,1.0186831740347166,1.0202730830268827,1.0207535520042295,1.0208689714337587,1.0212721612298998,1.0224267955002988,1.022801092287431,1.0245412084956615,1.0245464053703899,1.0250000000000004
R,0.7432915401266252,0.9395658365898955,0.9462899198319594,1.0011703607664293,1.001408906295862,1.0061712313257707,1.0147249402303657,1.018180769700754,1.0183467768711116,1.0211581970289458,1.0218723768378632,1.0227365371766828,1.0229143567206977,1.0229150809470458,1.0230580550061066,1.023120135282325,1.0234565945956682,1.0234839994058158,1.0245132494889075,1.0249999999999995
SA,0.9432372824655857,0.9643661047966718,0.9840748285754671,0.9842983703670799,0.9968980923249119,0.9978511912387734,1.002701436936487,1.00345078905344,1.0041880270392154,1.004197859329068,1.004640347072086,1.0086072305514724,1.00929599066518,1.0156237622816626,1.0241681838780248,1.0246819122975406,1.0247114475018546,1.024797260481543,1.0249997737079248,1.0250000000000004
SE,0.7836985315900586,0.81540278132965,0.9530305238341408,0.9761871548303611,0.9765674560222064,0.9802062034638603,0.9823630053533172,0.9854892906899566,0.9855361718274936,0.9901046127634094,1.01184970278687,1.016941364788028,1.0229425020244989,1.024353901094403,1.0245410987031924,1.024903120514267,1.0249909531948578,1.024992484204652,1.0249955049409742,1.025
Rb,0.7648870434659053,0.8599662793411902,0.9222273895125289,0.9335887716823262,0.9371848909811032,0.9418277924729516,1.0071382751816893,1.0071565300023793,1.007387929970384,1.0190851083586145,1.0205601521946972,1.020561913533095,1.0205975676470052,1.0217210570820867,1.0218072236067115,1.0233260345630777,1.0244637818678084,1.0248381356704754,1.024952961985159,1.025
Brg,0.9441647174229619,0.95270072830246,0.9685347087524672,0.983919081985318,0.9839295480609543,0.99167772978345,0.9933042524348649,0.9942635513512962,0.9968542508016692,0.9994922463669537,1.0069415982109233,1.0128522436110514,1.0149363673766225,1.0225574282704335,1.0226036681788249,1.0248679207957345,1.0249754205462858,1.0249844932776804,1.0249927190107615,1.0250000000000001
