,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Belgium,0.007195479455117396,0.0006302847544834674,0.0010899371739785276,0.05487178367613234,0.005992179956844368,0.0017726339242897374,0.0013320513153221103,0.08730319651509709,0.3217637321312913,0.004911005915240063,0.002739455444993105,0.017305917652724566,0.14907936132658886,0.07187828197001435,0.013498686147212965,0.005828074647217736,0.027149849322037727,0.000255203755662752,0.001907339463571291,0.0093273766236836
Bulgaria,0.007422499343929421,0.0011163943151445421,0.004248615502695757,0.002016129014635147,0.0018838243266346083,0.00015806346263946464,0.00015031177167213315,0.004566672085177946,0.001967715441331387,0.006321955043707715,0.03491784284414146,0.014990832587730428,0.017374067406455886,0.0030492573138819258,0.00135217331950017,0.004020677128280374,0.00045377797155789847,0.0208403710145222,0.012545575331364793,0.010980946558417158
Czechia,0.0058986026582020295,0.00023243539079645243,0.000868463245443915,0.000512691238526683,0.002580984509101764,1.2522183968662323e-06,0.0010223134690791444,0.0069455431017509195,0.006390967464028899,0.013807279019978526,7.654947929593153e-05,0.0057077876971050505,0.001679248349448853,0.012396557891309378,0.009636459012613098,0.006295244027334481,0.0021953412990765183,1.6489444008154431e-07,0.002464955802407219,1.9182003478735228e-05
Denmark,0.00031798315125370366,0.0001434558630946131,9.08138632610823e-05,0.007858192188772605,2.405800456665087e-05,1.3434987358674711e-05,0.004995624137233108,0.0039725903579222845,0.020364235772268164,0.17640207078291756,0.017379737444062057,0.031555770791367975,0.004638384090345279,0.0004385502977623692,0.011968214659568068,0.0008858447300369272,0.04432568921798769,0.19237932901642352,0.003336769692399479,0.045598350752789084
Germany,0.3935812743980299,0.18311284244192197,0.18515122722558705,0.09441202341136698,0.041932764469196776,0.029887479979876643,0.003691502182554928,0.00031162397647226586,0.00486424188241076,1.1119325922200073e-05,0.0011910047699575871,0.0008023326931111885,0.0025865769240089953,0.0011120841140413288,0.0001966435776765123,0.0001454324044035735,0.0033532607902248546,0.0007097328027013998,8.679376006060955e-05,0.0003157238954333777
Estonia,0.007920445202652723,0.001726029589202427,0.007114033081936192,0.0021203848321136704,0.004456801991769853,0.00037118860851804574,5.523250355191746e-05,0.0004394835029838348,0.009107831343076377,0.007589349024635411,0.007129931157467044,0.0024350591399543414,0.08461718811225936,0.13326699178312204,0.005587580634165206,0.11751652889181877,0.01996135653624126,0.0006031067840664343,2.9164281871160423e-05,0.0033532454187147694
Ireland,0.00402177370875373,0.00019034474123994194,0.0009886721066313666,0.0015329964342357485,4.304628826263879e-07,0.0006261596486856637,0.005227804025098552,0.015636174955460574,0.06772192583056166,0.044010043592642205,0.03732368764708208,0.023522544615500525,0.007359506993160712,0.03560669373470513,0.000503123510715071,0.06568865102951586,0.00914147100008831,0.00012602477957856094,0.0021639022532574798,4.515155345855296e-06
Greece,0.00504118935635722,0.0014976332071155998,0.001570842430929303,0.0024790213619225606,0.0004922490168390453,0.0009119254033054207,0.0009785545493225152,0.04897958449807836,7.966246019231778e-05,0.00010072900159373306,0.08210029739810262,0.13810298767072027,0.012910721654934834,0.012875682413041115,0.012204524094030767,0.039989848868109676,1.1649268916151172e-05,0.12079506668401246,0.167313592060049,0.005921057667540675
Spain,0.019343419154881934,0.008334312375136944,0.12426431794940447,0.03350921907356352,0.04428049462991482,0.013964975255092998,0.6153172227403497,0.027691360224625674,0.00436792682073951,0.02669993954231347,0.0013796374079593568,0.004859903487545034,0.0070924601773758745,0.00010866212814368563,0.00021376979614305469,0.0015242000847424755,6.578309324603549e-05,0.0002815304778026139,0.0003387245295055401,1.8511803141293406e-05
France,0.3174918632289477,0.5651372952701705,6.0086142588385315e-06,0.006270150436711177,0.0035383164608350295,0.0013317578501159497,0.038241809138486696,0.007306711181448156,0.00014484793723921192,0.0007111341493308082,0.0008734562617235741,0.0003220916094823602,0.001817715723171236,0.00035583457476941037,0.00021126403880639266,0.00016611739687518644,0.0006595964971382115,6.215877758917677e-06,7.317280899904379e-05,3.870205857643466e-06
