,IH,AIH,A,Kd,SV,R,SA,SE,Rb,Brg,BrgPRP,Th,ThMV,Drg,Frd,Crp,Br,ML,Acomp,OCGParticip
IH,0.9999999999999998,0.41722883126029653,0.3946762527807188,0.3141305518189321,0.41616907699124706,0.3754542059759082,0.5072798296550656,0.3887805685665136,0.4678125931054785,0.560531073972394,0.49642648457844196,0.46780557497191194,0.4041279172516649,0.40416148243716876,0.3918301568299792,0.116280347986848,0.23924309305365257,0.23055604485365036,0.32262159487219244,0.37122134995619993
AIH,0.4172288312602965,1.0,0.9291897640235076,0.42156031965608964,0.9493179236995468,0.9415456923204946,0.9125217456291084,0.7008678139128107,0.9049772797619656,0.8734963649431886,0.46400723660649157,0.9184669545509742,0.3734263331121331,0.7868465738330529,0.6854144962104961,0.3265011544086797,0.20777857574032438,0.5278761292658296,0.7078002768067716,0.7763888064883193
A,0.3946762527807187,0.9291897640235075,1.0,0.36712880437601403,0.9119225062788654,0.9389694626351501,0.8605056171054487,0.667211969051132,0.8239241394650482,0.8329493035425829,0.2939888130171762,0.9022384091470635,0.26356452000656333,0.7259310510128906,0.5253397672540295,0.0866383668280501,0.1839968279196274,0.3368676580271715,0.6136414621349734,0.7165440796565825
Kd,0.3141305518189321,0.4215603196560896,0.36712880437601403,1.0,0.5637504943147134,0.34998228931175823,0.6721578725134714,0.8649203585791589,0.39584496674246483,0.691404346186512,0.4333863168045845,0.5739004502410521,0.3385046880649717,0.8194247761337081,0.8254437261575356,0.1664159937353716,0.601817791889431,0.6266130963684713,0.4217951981877292,0.2106735341589713
SV,0.41616907699124706,0.9493179236995468,0.9119225062788655,0.5637504943147134,1.0,0.9588232447941587,0.96594462958493,0.812183093740641,0.8435155775192763,0.9325860398232416,0.3948146943340688,0.9219319030160078,0.27864717980975473,0.8898185385205117,0.7338340028057195,0.34254773965762686,0.27656202015909515,0.5959406099611879,0.6627906342814027,0.6912592317491028
R,0.3754542059759082,0.9415456923204946,0.9389694626351501,0.34998228931175823,0.9588232447941586,1.0,0.8854360978368396,0.6586016085211246,0.7897383523830458,0.8417656173483046,0.2722166601075014,0.8881887906710898,0.20610855109048595,0.7667067372568436,0.5449595917693761,0.34474809513085164,0.14163760822250868,0.49112181942931865,0.6072346395352938,0.688471793361446
SA,0.5072798296550656,0.9125217456291084,0.8605056171054486,0.6721578725134714,0.96594462958493,0.8854360978368396,1.0,0.8611112485757416,0.8457734769000017,0.9565184927723178,0.4824469014623751,0.9058397524578906,0.3405210439839332,0.9135872325884054,0.8143668584808796,0.29273528744142296,0.34387321165765844,0.6253780626473425,0.6698826861438233,0.6641423757342808
SE,0.38878056856651366,0.7008678139128107,0.667211969051132,0.8649203585791589,0.812183093740641,0.6586016085211246,0.8611112485757415,1.0,0.6177060774990023,0.8684548559269792,0.43028514110012817,0.7825056043760019,0.32043909706647317,0.9429941022582352,0.853506441872144,0.27744079992515874,0.6198327302732326,0.6609760580592342,0.6144923527108767,0.47559440724789204
Rb,0.46781259310547857,0.9049772797619656,0.823924139465048,0.39584496674246483,0.8435155775192763,0.7897383523830458,0.8457734769000017,0.6177060774990023,1.0,0.8468392980948508,0.5945026302851563,0.8248149418236432,0.44327250359662174,0.6666629010727466,0.7313075596125879,0.15752927138515835,0.1887540739428917,0.36498702505977954,0.6606589653509507,0.8723750407372016
Brg,0.5605310739723939,0.8734963649431885,0.8329493035425829,0.6914043461865121,0.9325860398232416,0.8417656173483046,0.9565184927723178,0.8684548559269792,0.8468392980948507,1.0,0.502797503263145,0.8932239582451504,0.37053309018741604,0.9130331063087807,0.8279539814393488,0.28396537220011364,0.4717663625279916,0.5755302507646207,0.6743221126691865,0.7100757966508564
BrgPRP,0.496426484578442,0.4640072366064916,0.2939888130171762,0.43338631680458445,0.3948146943340688,0.2722166601075014,0.4824469014623751,0.4302851411001282,0.5945026302851562,0.502797503263145,1.0,0.5700856344583024,0.8770559641379849,0.44656763154039825,0.7312444331660489,0.3238286881245703,0.26756565446238145,0.48689024336895836,0.704245963090263,0.49280908618785607
Th,0.46780557497191194,0.9184669545509742,0.9022384091470634,0.5739004502410522,0.9219319030160079,0.8881887906710898,0.9058397524578905,0.7825056043760019,0.8248149418236432,0.8932239582451506,0.5700856344583025,1.0,0.5703134313637505,0.8565653176025209,0.757408561786883,0.3037090819270549,0.3147866064233766,0.5563274369099989,0.7782887326938522,0.6780761206946714
ThMV,0.4041279172516649,0.3734263331121331,0.26356452000656333,0.3385046880649717,0.27864717980975473,0.20610855109048598,0.3405210439839332,0.3204390970664731,0.4432725035966218,0.37053309018741604,0.8770559641379849,0.5703134313637505,1.0,0.35512780908964114,0.5982334229365595,0.2973938819184182,0.23514868578428047,0.39027952366954144,0.6825993396420087,0.3390277689695107
Drg,0.4041614824371688,0.7868465738330528,0.7259310510128905,0.8194247761337082,0.8898185385205118,0.7667067372568436,0.9135872325884054,0.9429941022582351,0.6666629010727465,0.9130331063087805,0.44656763154039825,0.8565653176025209,0.35512780908964114,0.9999999999999998,0.8611641058737094,0.3812436051319016,0.5288808042819158,0.7598177740196136,0.6665942400866658,0.5044985449153461
Frd,0.3918301568299792,0.6854144962104961,0.5253397672540295,0.8254437261575356,0.7338340028057194,0.5449595917693761,0.8143668584808796,0.853506441872144,0.731307559612588,0.8279539814393488,0.7312444331660489,0.757408561786883,0.5982334229365595,0.8611641058737094,1.0,0.399407101238227,0.5326199792555568,0.717692303610286,0.713685098464238,0.5586050550937322
Crp,0.116280347986848,0.3265011544086798,0.08663836682805011,0.1664159937353716,0.34254773965762686,0.3447480951308516,0.29273528744142296,0.2774407999251588,0.15752927138515832,0.2839653722001137,0.32382868812457033,0.303709081927055,0.2973938819184182,0.38124360513190164,0.3994071012382269,1.0,0.27208897081436834,0.6903293585539411,0.43254927116254116,0.19452873351549996
Br,0.23924309305365257,0.20777857574032438,0.1839968279196274,0.601817791889431,0.27656202015909515,0.14163760822250865,0.34387321165765844,0.6198327302732325,0.1887540739428917,0.4717663625279916,0.26756565446238145,0.31478660642337664,0.23514868578428047,0.5288808042819158,0.5326199792555568,0.2720889708143683,1.0,0.3039135983262776,0.3174938236685911,0.33658496118297404
ML,0.23055604485365036,0.5278761292658296,0.3368676580271715,0.6266130963684713,0.5959406099611879,0.49112181942931865,0.6253780626473425,0.6609760580592342,0.36498702505977954,0.5755302507646207,0.48689024336895836,0.5563274369099989,0.39027952366954144,0.7598177740196136,0.717692303610286,0.6903293585539412,0.3039135983262776,0.9999999999999998,0.5617264650393475,0.1801626226306565
Acomp,0.32262159487219244,0.7078002768067716,0.6136414621349734,0.42179519818772915,0.6627906342814027,0.6072346395352937,0.6698826861438234,0.6144923527108768,0.6606589653509507,0.6743221126691865,0.7042459630902629,0.7782887326938521,0.6825993396420087,0.6665942400866658,0.713685098464238,0.43254927116254116,0.317493823668591,0.5617264650393475,0.9999999999999998,0.5791496674703815
OCGParticip,0.37122134995619993,0.7763888064883192,0.7165440796565825,0.2106735341589713,0.6912592317491028,0.6884717933614461,0.6641423757342808,0.475594407247892,0.8723750407372017,0.7100757966508565,0.492809086187856,0.6780761206946715,0.33902776896951065,0.5044985449153461,0.5586050550937322,0.19452873351549996,0.3365849611829741,0.1801626226306565,0.5791496674703815,0.9999999999999999
