,IH,AIH,A,Kd,SV,R,SA,SE,Rb,Brg,BrgPRP,Th,ThMV,Drg,Frd,Crp,Br,ML,Acomp,OCGParticip
Belgium,145.0,1005.0,55494.0,224.71428571428572,9046.0,3738.0,5308.0,3313.0,11828.0,47426.0,33775.0,156440.0,9107.0,61615.0,93510.0,4297.0,68.0,5524.0,9350.0,312.0
Bulgaria,66.0,32.0,2657.0,81.0,568.0,109.0,459.0,2454.074074074074,1002.0,5344.0,4736.0,27036.0,420.0,4915.0,1671.0,486.0,118.0,48.0,48.0,89.0
Czechia,57.0,68.0,3892.0,11.0,1453.0,639.0,791.0,666.0,1248.0,20661.0,5512.0,45638.0,6087.0,4191.0,7952.0,1689.0,115.0,556.0,1287.0,18.0
Denmark,51.0,151.0,1871.0,224.71428571428572,5370.0,2175.0,3195.0,1901.0,1635.0,38493.0,27139.0,142042.0,264.0,31221.0,53864.0,3873.0,13.0,1184.0,3803.8518518518517,261.15384615384613
Germany,719.0,1773.0,130453.0,4565.0,41079.0,10122.0,30957.0,23157.0,33872.0,298357.0,75023.0,931793.0,42906.0,365753.0,808074.0,4170.0,4170.0,8942.0,14416.0,594.0
Estonia,37.0,13.0,77.0,0.0,310.0,152.0,158.0,2454.074074074074,113.0,40809.8125,582.0,6863.0,108.0,3701.0,1845.0,81.0,40.0,21.0,255.0,3.0
Ireland,33.0,19.0,4249.0,106.0,2582.0,1027.0,1555.0,458.0,1403.0,10582.0,19062.862068965518,48777.0,2586.0,22202.0,5862.0,6.0,488.93548387096774,1212.5,71.0,261.15384615384613
Greece,73.0,129.0,1285.0,73.0,192.0,172.0,12.0,104.0,2541.0,13892.0,6425.0,60947.0,15400.0,12823.0,4059.0,607.0,64.0,34.0,367.0,395.0
Spain,298.0,980.0,16002.0,76.0,11112.0,1596.0,9516.0,1846.0,45263.0,106106.0,72380.0,104521.0,19946.0,17112.0,360551.0,762.0,47.0,310.0,6243.0,1317.0
France,692.0,3300.0,316633.0,224.71428571428572,56374.0,25550.0,30824.0,11416.0,58200.0,279437.0,19062.862068965518,1174596.0,9680.85294117647,217736.0,232572.0,2287.0,204.0,1899.0,13807.0,1651.0
Croatia,40.0,108.0,743.0,1.0,596.0,302.0,265.0,360.0,632.0,8936.0,3237.0,10418.0,703.0,9216.0,2507.0,538.0,61.0,21.0,1033.0,28.0
Italy,285.0,876.0,54545.0,117.0,4918.0,1903.4,3513.7272727272725,2515.0,20479.0,40809.8125,109503.0,625641.0,101042.0,33876.0,283686.0,3770.0,409.0,1857.0,17990.0,602.0
Cyprus,15.0,16.0,136.0,2.0,30.0,28.0,2.0,164.0,78.0,872.0,19062.862068965518,513.0,9680.85294117647,846.0,244.0,13.0,11.0,1212.5,174.0,0.0
Latvia,93.0,20.0,596.0,12.0,309.0,202.0,115.0,224.0,435.0,3803.0,833.0,12799.0,748.0,1975.0,1731.0,182.0,121.0,415.0,5.0,261.15384615384613
Lithuania,99.0,11.0,150.0,1.0,126.0,72.0,54.0,482.0,479.0,1224.0,1224.0,9447.0,568.0,2940.0,2688.0,551.0,313.0,83.0,460.0,10.0
Luxembourg,2.0,96.0,486.0,42.0,289.0,104.0,3513.7272727272725,2454.074074074074,472.0,2984.0,1076.0,9258.0,254.0,4619.0,1475.0,5.0,5.0,1212.5,3803.8518518518517,36.0
Hungary,77.0,92.0,17823.457142857143,11.0,504.0,504.0,3513.7272727272725,371.0,608.0,40809.8125,19062.862068965518,50441.0,9680.85294117647,6504.0,15451.0,2377.0,2025.0,301.0,4301.0,261.15384615384613
Malta,6.0,4.0,183.0,0.0,89.0,17.0,72.0,2454.074074074074,128.0,1036.0,623.0,4578.0,230.0,168.0,811.0,16.0,1.0,105.0,320.0,0.0
Netherlands,121.0,367.09375,5215.0,520.0,4010.0,2055.0,1955.0,455.0,7295.0,49835.0,31585.0,204755.0,27015.0,12830.0,71278.97142857143,5885.0,488.93548387096774,1871.0,3803.8518518518517,261.15384615384613
Austria,54.0,133.0,3549.0,3.0,4141.0,1684.0,2135.0,1917.0,2137.0,48437.0,6521.0,84734.0,3107.0,40785.0,54410.0,2879.0,37.0,527.0,12585.0,94.0
Poland,261.0,329.0,5377.0,224.71428571428572,2939.0,568.0,360.0,6539.0,5288.0,74502.0,18265.0,98519.0,11089.0,66550.0,138187.0,7505.0,5065.0,649.0,6115.0,872.0
Portugal,81.0,367.09375,576.0,254.0,2434.0,315.0,2119.0,499.0,8976.0,19133.0,9168.0,65159.0,8684.0,3966.0,37003.0,154.0,62.0,47.0,1672.0,5.0
Romania,256.0,335.0,229.0,328.0,1914.0,1595.0,319.0,878.0,3849.0,25741.0,15258.0,87818.0,1682.0,6610.0,11222.0,3414.0,679.0,240.0,1203.0,489.0
Slovenia,11.0,34.0,1443.0,3.0,377.0,46.0,43.0,2454.074074074074,255.0,8281.0,2674.0,16148.0,599.0,1369.0,3379.0,312.0,298.0,1212.5,222.0,1.0
Slovakia,63.0,367.09375,1271.0,52.0,621.0,92.0,59.0,22.0,325.0,3725.0,951.0,11441.0,982.0,1513.0,1984.0,131.0,66.0,77.0,62.0,10.0
Finland,95.0,383.0,1754.0,3.0,4062.0,1518.0,2544.0,874.0,1995.0,7790.0,4724.0,134831.0,6466.0,36860.0,47132.0,4041.0,267.0,594.0,1594.0,3.0
Sweden,124.0,1085.0,5290.0,224.71428571428572,21144.0,8884.0,11567.0,4954.0,8812.0,81140.0,39244.0,311038.0,21372.0,126245.0,278954.0,19791.0,152.0,9303.0,8949.0,261.15384615384613
Iceland,3.0,5.0,132.0,224.71428571428572,520.0,158.0,48.0,2454.074074074074,75.0,1059.0,388.0,3503.0,29.0,1730.0,673.0,2133.6176470588234,488.93548387096774,288.0,3803.8518518518517,261.15384615384613
Liechtenstein,1.0,367.09375,86.0,0.0,11.0,3.0,3513.7272727272725,2454.074074074074,4.0,59.0,19062.862068965518,133.0,6.0,1058.0,176.0,10.0,488.93548387096774,58.0,3803.8518518518517,261.15384615384613
Norway,31.0,87.0,1786.0,224.71428571428572,5060.0,2234.0,2389.0,1259.0,958.0,40809.8125,19062.862068965518,86519.0,4061.0,25798.0,18998.0,40.0,488.93548387096774,157.0,3803.8518518518517,261.15384615384613
Switzerland,47.0,206.0,670.0,6.0,2909.0,713.0,683.0,1669.0,1949.0,32819.0,18405.0,121322.0,9820.0,68600.0,20986.0,21.0,20.0,3070.0,3803.8518518518517,42.0
England and Wales,165.0810810810811,367.09375,17823.457142857143,224.71428571428572,5312.6,1903.4,3513.7272727272725,2454.074074074074,6358.486486486487,40809.8125,19062.862068965518,131686.1081081081,9680.85294117647,33706.805555555555,71278.97142857143,2133.6176470588234,488.93548387096774,1212.5,3803.8518518518517,261.15384615384613
Scotland,165.0810810810811,367.09375,17823.457142857143,224.71428571428572,5312.6,1903.4,3513.7272727272725,2454.074074074074,6358.486486486487,40809.8125,19062.862068965518,131686.1081081081,9680.85294117647,33706.805555555555,71278.97142857143,2133.6176470588234,488.93548387096774,1212.5,3803.8518518518517,261.15384615384613
Northern Ireland (UK),165.0810810810811,367.09375,17823.457142857143,224.71428571428572,5312.6,1903.4,3513.7272727272725,2454.074074074074,6358.486486486487,40809.8125,19062.862068965518,131686.1081081081,9680.85294117647,33706.805555555555,71278.97142857143,2133.6176470588234,488.93548387096774,1212.5,3803.8518518518517,261.15384615384613
Bosnia and Herzegovina,42.0,67.0,640.0,1.0,194.0,18.0,146.0,14.0,520.0,4680.0,549.0,3669.0,300.0,3756.0,543.0,903.0,339.0,44.0,63.0,88.0
Montenegro,16.0,37.0,129.0,224.71428571428572,27.0,9.0,14.0,2454.074074074074,48.0,439.0,19062.862068965518,320.0,33.0,281.0,58.0,154.0,6.0,40.0,5.0,111.0
North Macedonia,165.0810810810811,367.09375,17823.457142857143,224.71428571428572,5312.6,1903.4,3513.7272727272725,2454.074074074074,6358.486486486487,40809.8125,19062.862068965518,131686.1081081081,9680.85294117647,33706.805555555555,71278.97142857143,2133.6176470588234,488.93548387096774,1212.5,3803.8518518518517,261.15384615384613
Albania,52.0,114.0,152.0,5.0,145.0,65.0,80.0,96.0,82.0,40809.8125,894.0,3162.0,199.0,2099.0,798.0,847.0,161.0,417.0,107.0,15.0
Serbia,76.0,124.0,5796.0,4.0,486.0,93.0,393.0,107.0,846.0,9499.0,3729.0,15228.0,711.0,10769.0,1240.0,746.0,180.0,114.0,3803.8518518518517,261.15384615384613
Turkey,1958.0,367.09375,17823.457142857143,224.71428571428572,5312.6,1903.4,7760.0,2454.074074074074,11267.0,95783.0,58400.0,198115.0,32509.0,33706.805555555555,71278.97142857143,2133.6176470588234,488.93548387096774,1212.5,3803.8518518518517,261.15384615384613
Kosovo*,28.0,115.0,274.0,15.0,5312.6,60.0,56.0,2454.074074074074,167.0,3839.0,19062.862068965518,4224.0,116.0,1213.0,468.0,2133.6176470588234,40.0,4.0,3803.8518518518517,5.0
