,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
IH,0.5257549239557937,-0.03257867286518566,0.26208677021934346,-0.35252037729919866,-0.25124898579426275,0.6937866637188279,-0.04938270945722858,0.07370693851328641,-9.681714688136226e-05,-0.011116491641666523,0.002931072241024105,-0.041942850479749744,0.007845227884589445,-0.009507805819744176,-0.006836794194230893,-0.010213299115275508,0.0025235564250643597,-0.00029321339344121506,0.00456563193608055,-0.0011260184956182772
AIH,0.9291091599758474,0.33123738709608275,0.06226649075705997,0.13498858294696967,0.01653476771517326,-0.019865895590363253,0.013941414302348609,-0.03638055653453647,0.05160966265691093,-0.0548573969500042,0.07188347676678279,-0.02305197156347546,0.09747026553529983,-0.015441560541708312,-0.057234989653687146,0.056820123302394866,0.0021082470189277085,-0.00990853416979554,0.005742278001834149,-0.0016084898124557163
A,0.8466984263979881,0.4990450540289206,-0.020944136967484536,-0.022862154096283813,-0.02504332257694555,-0.0563934481021238,-0.19421525709931314,-0.051703037595233224,0.0761672861462905,0.007290755132233267,0.028636724269693777,0.0016248096166616023,0.0353613563053372,0.03785589539487808,0.02295204279912083,-0.038464920101504686,0.047657201903782295,-0.003098686972858696,-0.015054192018892382,0.004440938290299314
Kd,0.6932090845254338,-0.4488244114843988,-0.41333743120688604,-0.2879394552688813,-0.18183495642371159,-0.13083497662874521,0.07043697163024147,-0.0491538565067336,-0.08281199999386853,0.06044001904283759,-0.06654018718379245,-0.04940353617824104,0.11549542738298142,0.027692727185233922,0.00135998584549037,-0.010149992898237932,-0.009153442661697445,-0.003652194603459345,-0.001784862550749328,0.0033538132979717083
SV,0.952244019034633,0.26672441987648327,-0.14755271446488938,0.11618486228801896,-0.04791626889977651,0.008363434384444205,0.015168358887008017,-0.017119151604292785,-0.04054091226688879,0.029972111459949748,0.008420627200076749,0.039873662888753394,-0.021919602581859935,-0.010743343498609781,-0.020079586553043954,-0.03397990980563282,-0.01934675133277628,-0.0417147001455186,-0.0022796654860551893,-0.021297761140800276
R,0.86214357280364,0.44302855039294053,-0.08200050757198984,0.23426574853031737,-0.01544491921094578,0.06900960099804007,-0.09248626332918337,-0.05878630342510425,-0.01288437698755942,0.053022826762010804,-0.026724142809778816,0.02939660420557948,-0.013334899475245986,-0.0008510148929264012,0.011957176048753165,-0.007879103770001046,-0.018342827299608278,-0.005234960376897437,0.03208192767106872,0.022062423055775143
SA,0.9712040375047798,0.14535756716141787,-0.1403877622116516,-0.014951314043013506,-0.11224848309813365,0.0308723001064308,0.0696437053703605,0.027374296647642068,-0.027152126726561584,0.0031356482348083438,0.02103539262809554,0.06298319997734629,0.026244239629059186,-0.07954729169797453,0.09243604057055933,0.022665577855324227,-0.005434630099096062,0.009263529548092474,-0.014230714190855427,-0.00047570166652373814
SE,0.8852674915470796,-0.17805687220545977,-0.3709821323251172,-0.1521730297924711,-0.019501312567243165,-0.06032203114662152,-0.0464413812182287,0.0559131946559971,-0.006846980176475733,0.06759024290469631,0.14746216471848123,-0.07135588273687096,-0.07746700740619121,0.03756859153473921,0.013682017716311818,0.019026870764115956,-0.00937190912199581,0.0012373398054554867,-0.0017380265596861923,0.002120155424889963
Rb,0.8745782088903801,0.3083492109204835,0.2495217629212706,-0.10658978454710048,0.0599676521032546,-0.06813883981877202,0.25555915696514897,0.00427256605448746,-0.01521183644419007,-0.10815349457243834,0.03840629943229052,-0.0013271542479615856,0.0059711065900894585,0.03351849392621351,-0.009282592559450412,-0.03897192523299584,-0.03373050999808122,0.019348224793689653,-0.01071570411515471,0.00685842655723043
Brg,0.9716813867842493,0.09239053457740184,-0.12583314527582626,-0.1240337584403972,0.003235131471271999,0.08802375658023087,0.04033017048581441,0.030972551015881335,-0.05089891403923083,-0.05136142098194352,-0.08630962775941989,0.07688072190171008,-0.04565220438895676,0.08729868781265276,0.006799993264059795,0.047584163509614766,0.010368208647170269,-0.003012097507470167,-0.0028680538839229745,-0.0026983308245380772
