,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Belgium,1.938234308593757,-0.24114479882827827,0.27719926074967494,1.6827312460459556,-0.4374154450824875,-0.22973591563558665,0.1525848778525416,0.8382497075399147,1.2420647745755198,-0.11634575480828711,0.08091244192154463,-0.18730927438866943,0.5071739633453598,0.27310180171680715,-0.11103273324655265,-0.05268105115219786,0.08633744261704333,-0.007345358545858405,-0.015911549689177695,0.024913482604711757
Bulgaria,-1.968572853500382,0.3209359044507525,-0.5472868962603045,-0.3225517333422838,-0.24525727040747142,-0.06860173716715977,0.05125633074098966,-0.1917159525991044,-0.09713077338162994,0.1320051924109144,0.28887295937437446,-0.1743310886043901,-0.17314060849271543,0.05625002999137693,0.03514159441543691,-0.04375638942129135,0.011161875479088059,0.066377698811197,-0.040807855562213176,0.027031775583632327
Czechia,-1.7548943635029646,0.14644030521847026,-0.24743837610223518,0.16265528093180118,-0.2870743492523959,-0.006106036659524828,-0.13367280390486347,-0.23643482403860308,-0.17504874568624826,-0.19508297211241885,-0.013525530499458689,0.10757116462071513,-0.053827678954803525,0.11341650959291898,0.0938132151184562,-0.05475177005255973,0.024550847705450404,-0.00018671210497931017,-0.018088520665896238,-0.0011298002513730682
Denmark,-0.4074538844062125,-0.1150452386578154,-0.08001426325574254,0.6367977838292244,-0.027716059918381566,-0.020000368548116966,0.29549211338842785,0.1788114109318909,-0.3124710294047512,0.6972959654405009,-0.20380028792591687,0.2529305925498657,-0.08946054562237284,0.0213321891742425,-0.10454901990452985,0.020538592676095733,0.11031719664389127,0.20167342402944813,-0.02104561387832851,-0.05508447971657081
Germany,14.334865478404838,-4.1102562661269735,-3.6128891155156393,-2.2072619305253465,-1.1571200993956576,-0.9433308044565407,0.2540110333547786,-0.050081089758266785,-0.15271555727077007,0.0055361078608817905,-0.053350677391465116,-0.04033102035064776,0.06680529525964317,-0.033969921222859675,0.013401245537128164,-0.008321899586552925,0.030342344429338607,-0.012249458989915925,-0.003394241457632303,-0.004583617940296328
Estonia,-2.0335329078315145,0.39905578980369494,-0.7081891608403929,-0.33078633834925086,-0.3772361985972817,-0.10512758484702825,-0.031070509938448572,-0.05947433937393883,-0.20896963771705643,-0.14463306039520737,0.13053466408046568,0.07026138747480053,-0.38210039187373357,0.3718664677226267,0.07143600888354491,0.236560024580466,0.07403046792396553,-0.011291888363006744,0.0019675425156675088,0.014937824552981075
Ireland,-1.4490561796878545,0.13251954601647017,-0.2640082363957419,-0.28126182638929376,-0.0037074008475099832,-0.1365406311502694,0.30228087167455464,-0.3547509756519769,0.5698234918990722,0.34829016596361995,-0.29865889967908776,0.21837560214090138,-0.11268667112203576,-0.19221688979555204,0.021435942674612445,-0.17686302581672536,-0.050098360261119634,0.005161755655333728,0.01694795497870834,-0.0005481394160814849
Greece,-1.6223438742781224,0.37171683320152876,0.3327803292173261,-0.35766822116063146,0.12537014228603158,-0.16477792302469418,0.1307806635886196,-0.6278644391342906,-0.01954350962884746,-0.016662592660782054,-0.44295086360618413,-0.5291313605546115,-0.14925312999727408,-0.11558749430725498,0.10557612197075966,0.13799608341470668,0.0017884005878060023,-0.15980636313493327,-0.14902670308780117,0.01984971747553484
Spain,3.1779205057363185,0.8768885211812663,2.959814922324156,-1.314989768109038,1.1890713681555656,-0.6448214156168953,3.2794465132564175,0.4720961759169536,-0.1447149426102031,-0.27128167099133804,0.0574203279154946,0.09926034661140369,-0.11062330806929865,-0.01061854041781256,0.013972639441938823,-0.026940947761521995,0.004249840334619732,0.007714933335911609,-0.006705355473067335,-0.0011098877190659408
France,12.874865706410649,7.220819390011001,-0.020581569845619225,0.5688256877670294,0.33612438954160995,0.1991278479403694,-0.817561122604046,-0.24250422443849678,0.026353108937531712,0.04427321700417656,0.045688170608089954,0.025553575197529405,-0.056002984293658,0.019215416099880714,0.013890506112404149,-0.008894047356795436,-0.01345719789076342,0.0011463591494104252,-0.003116544595625036,0.0005074832555913031
Croatia,-2.103910962232944,0.40092968527765016,-0.386829382394042,-0.09117761895261195,-0.27824286195015574,-0.12282582612717885,-0.04902815874137346,-0.0801259215772384,-0.13890699583900387,-0.15953171163666208,0.0003377300378857807,0.0615953454103982,0.02084690476012464,-0.07578414194499825,-0.10297100982240767,-0.038064162322969365,0.06395769871891058,-0.016485816366688152,0.00439628227954549,0.061701701275430794
