,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
Belgium,0.3894391365068228,0.006028133178716535,0.007965465769177206,0.2935327465791205,0.019834226474164898,0.005471228229377619,0.002413515147625491,0.07284065816730849,0.1599246947872597,0.001403227615884472,0.0006786684446698937,0.0036370192783290825,0.02666496024438002,0.007731720940419026,0.0012779948441217766,0.00028769737807352524,0.0007727257787141557,5.593105863256805e-06,2.6245327648167577e-05,6.434220232346561e-05
Bulgaria,0.8298246416306077,0.022055654783722838,0.06413770902744328,0.02227830284630653,0.012880333979174806,0.0010077517703189023,0.0005625723329324379,0.00787045512212316,0.002020212419511633,0.003731344711453699,0.017868871446909188,0.006507782465569993,0.006419204658735706,0.0006775305148670315,0.00026443946346934064,0.00040998342650214956,2.6678271607884178e-05,0.000943469201245969,0.00035659142048868376,0.00015647050700897273
Czechia,0.8916338701460154,0.006208773976433046,0.017726325220890977,0.007659861824890672,0.023860161416891373,1.0794521958832488e-05,0.00517333634534661,0.016184805550371977,0.008871613348200703,0.011018521574067519,5.2965516953454834e-05,0.0033502432467447823,0.0008388724010063796,0.003724235664387523,0.0025480775389919524,0.000867922460041812,0.0001745089011705068,1.0093215586991868e-08,9.473068988940705e-05,3.695625315327853e-07
Denmark,0.11239324505841028,0.00896025943389123,0.004334291409755823,0.27452782684960636,0.0005200513986270505,0.00027080662370853155,0.059111921107348885,0.021645805198769456,0.0661002043185816,0.3291679860756012,0.028118546800539955,0.04330978307875011,0.00541809194639023,0.00030807335510166846,0.007399855128444296,0.00028557793547272567,0.008238909261785466,0.027534717768068085,0.0002998516769182927,0.0020541955742286815
Germany,0.8468921709071354,0.06962715894843233,0.05379601919183918,0.02007930239709976,0.005518203970288433,0.003667489740250017,0.0002659169598797692,1.033685479099783e-05,9.611860011210215e-05,1.2631355563984162e-07,1.1730614164786037e-05,6.7037729005696555e-06,1.8393426874137968e-05,4.755869771325021e-06,7.401695307004354e-07,2.854209300195746e-07,3.7943653203376786e-06,6.184074182121758e-07,4.748170897728926e-08,8.658799744456951e-08
Estonia,0.7517196230568802,0.028948143060631957,0.0911700154702219,0.019890633122495345,0.02586903315004895,0.0020090319903563122,0.00017548913765118085,0.0006430026030980618,0.007938160165917944,0.0038026699204807167,0.003097456311136931,0.0008974017685745647,0.026540459882930773,0.025137814364127063,0.0009276578903924844,0.010172698921311148,0.0009962640669752868,2.3178569504483916e-05,7.037229731623952e-07,4.056282429160694e-05
Ireland,0.6625715723216978,0.005541434837598935,0.021993649709756577,0.02496226198802282,4.337120031741823e-06,0.005882828176952824,0.028832591814027295,0.039710883450577904,0.10245733407085054,0.03827760675061751,0.028145779003068392,0.015047715889248263,0.00400689028586285,0.011658574262741993,0.00014499316358255776,0.00987043864753651,0.0007919711745107748,8.407313389526902e-06,9.06352120492488e-05,9.480787608511041e-08
Greece,0.6492601195725459,0.03408453378048713,0.02731795560491797,0.03155684744731788,0.0038772261958910682,0.0066977811000025755,0.004219101506818168,0.09724441618473698,9.421889684469597e-05,6.848856328120784e-05,0.048399848954691974,0.069065300368862,0.005495153088202022,0.0032957525691889753,0.0027495670306978523,0.004697496030581187,7.889736676614542e-07,0.006299716949322176,0.005478492710955334,9.719447098713847e-05
Spain,0.29455499008666053,0.022426892223000462,0.25551090295488266,0.05043419266057005,0.041237864709688946,0.012127163457557535,0.3136761003170817,0.006500418102101154,0.000610811323133399,0.0021464522403246214,9.616381019426611e-05,0.0002873636959295201,0.00035692223907272236,3.288591839973435e-06,5.694259181615022e-06,2.1169278940499984e-05,5.26775482987994e-07,1.7359798557833383e-06,1.311366056856689e-06,3.59284447234489e-08
France,0.7565055583575576,0.23795765069664077,1.9332307848146893e-06,0.0014766756345944256,0.0005156164456408983,0.00018096338367068297,0.003050472895261619,0.00026838937852653413,3.1694975646684627e-06,8.94558749747486e-06,9.526519167474378e-06,2.9800945924945325e-06,1.4313605669967157e-05,1.685102389601541e-06,8.805678957193496e-07,3.610152792106483e-07,8.264869213084909e-07,5.997470368081232e-09,4.432751641180236e-08,1.1753579315191185e-09
Croatia,0.8994229448911191,0.032662218196507296,0.030405220571041107,0.00168921816488409,0.015731035570254064,0.0030654104765176146,0.0004884278470717273,0.001304533766534213,0.003920644702040033,0.005171342464268126,2.3176541382595375e-08,0.0007709124146162273,8.830644758319062e-05,0.0011669867499087701,0.0021544637598069063,0.0002944027097462238,0.0008311796607047197,5.522429312050372e-05,3.927176224385201e-06,0.0007735769615104312
Italy,0.268055179090366,0.0968926322519236,0.537607080590049,5.991819372271358e-06,0.0003222409953792723,0.05858138240658861,0.03457543447467281,0.003129890386729727,9.305685073031887e-06,2.4883068405574474e-05,0.0003822567515281021,0.00016649982024494737,0.00014915680402510946,2.0433912520460703e-05,2.6593896975855427e-09,5.426886297172493e-08,4.414052816407607e-05,2.980086044404357e-06,2.8489861659738573e-05,1.964539000726567e-06
Cyprus,0.8199377262175945,0.0035841797103169726,0.0012948762333046839,0.0003247990509096294,0.07104803593275996,0.017470673433585587,0.00177719213108162,0.029987328838077722,0.035882359032185514,0.00023581103819302074,6.0899037283487645e-05,0.012412106249661816,0.0006640831797356171,8.651897961309568e-05,0.0004908952894497961,0.0020241690543553333,4.8306517498480074e-09,0.0018323154394427744,8.505296031762213e-05,0.0008009733614794959
Latvia,0.8461491414617343,0.050588817696681714,0.01954494401804878,0.01405068328692868,3.408359238165765e-05,0.0007158529982544701,0.00979626687981897,0.009470101137152893,0.0039310465598932035,6.657883559140757e-05,0.012931967205151131,0.020024546372619502,0.0009921697746504742,0.0032028386006523017,0.0031649886629638952,0.001734263489194147,0.0013828181399457714,0.00011363165077265184,0.0010451824286689209,0.0010600772088952004
Lithuania,0.9002825245940232,0.012638707697388223,0.041045110316520396,0.010691862999966361,0.007122077060693782,0.00152781021324471,0.0023689841680492292,0.004573155740732899,0.0010400131305645045,0.0075255945137812095,0.001010362950780474,0.00015398840639776966,2.20743703544693e-05,0.0015829177177087215,1.791036186047659e-05,0.007243505462960381,0.00018244934280979035,0.0002637473836855067,0.0006321708355130642,7.503273296475337e-05
Luxembourg,0.6673757866645825,0.00942319999058646,0.07560656772634874,0.0021469436574475752,0.04649747506296852,0.044118546796206776,0.0062311969944201795,0.06930725166069389,0.006092449573877076,0.003172773998508426,0.009483870330519784,0.006711378883595005,4.863720241133037e-07,0.005095176966673388,0.041013075611099556,0.001055822635059533,0.004223021052028692,0.0019125420845275086,3.844531906185962e-08,0.0005323954935130927
Hungary,0.16058809561147794,0.05784170146313724,0.0003606635900704532,0.052250345191110575,0.4090249834356449,0.008969845700757758,0.10585268003631779,3.003118939783913e-07,0.011348887354256128,0.003907539525321052,0.006343448413818468,0.12585592390326988,0.019208487119080197,0.0014020740692999474,0.03329004671716078,0.00022072660465058592,0.0016475883214188706,0.00011916898260669039,0.0017668572769790258,6.363717277521781e-07
Malta,0.8300885198439635,0.01988368422153045,0.06653245686101825,0.008007772632907986,0.024455903916512325,0.01144516259503346,0.00041667135353899763,0.001521988214773815,0.0012808379322508472,6.827991597643581e-05,0.02118678091212767,0.0037296209282653954,0.008914962184023326,0.0007065515937598792,0.0010384787639725168,0.0002274702678386125,5.489940428147736e-06,9.059395860635452e-05,0.00017917438599806708,0.00021959957747390537
