,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Belgium,0.5431525178619844,-0.1607534600990665,0.21139400212191364,1.499914374463231,-0.49566054738159165,-0.2695885585403788,0.2336966065825658,1.8919384390404939,3.6321223846923085,-0.44872178744166474,0.33513828973233917,-0.842343530729421,2.4722972746799976,1.7166856324821351,-0.743939602411198,-0.48882620688331263,1.0550563123376622,-0.10229053710961161,-0.2796442704695073,0.6184031383903446
Bulgaria,-0.551654305794042,0.2139443079890798,-0.4173646314801076,-0.28750876438822004,-0.27791509025603295,-0.08050218610831665,0.07850339252896947,-0.43270492889762163,-0.284035795445903,0.5091170364385936,1.1965080679250766,-0.7839796783698845,-0.8440004524078712,0.35358103720244805,0.2354551042120492,-0.40601448528284717,0.1363997684524202,0.9243674656733707,-0.7171949446182374,0.6709834639505682
Czechia,-0.4917750593373796,0.09762095585812787,-0.18869815331157988,0.14498393283255218,-0.32530042249153673,-0.007165260237529097,-0.2047311706415145,-0.5336358938187982,-0.5118883335505751,-0.7523951354302602,-0.05602257269291721,0.4837554088393297,-0.26239127715570687,0.7129227682881818,0.6285656843299171,-0.5080403577676814,0.30001498839580876,-0.0026001292358925772,-0.31790436910916464,-0.028043932367414957
Denmark,-0.1141810369606173,-0.07669217943753547,-0.06101940997505936,0.5676141997340066,-0.03140665832642316,-0.02346986326559367,0.4525710879260378,0.4035792421257734,-0.913747047416841,2.6893279647710537,-0.8441381612073608,1.1374474064527498,-0.4360891510966037,0.13409161870995942,-0.7004975382128696,0.19057710757463503,1.3480924515542305,2.808478678871065,-0.3698750564560669,-1.3673084439380723
Germany,4.017067618340427,-2.740004843083092,-2.755213297777337,-1.9674585027049607,-1.311199200440981,-1.1069718511213111,0.3890393161169602,-0.11303354827378861,-0.44658024718838735,0.021351636068699817,-0.22097781691441581,-0.18137155349601747,0.3256526583407063,-0.2135309080102796,0.0897907939865608,-0.07721870615690549,0.37078793453835446,-0.17058442165320195,-0.05965353436708501,-0.11377468836594756
Estonia,-0.5698580992745138,0.26602107652834484,-0.5400697698995787,-0.29484873768876896,-0.4274679890501322,-0.1233642288073811,-0.04758710587573714,-0.13423421181776732,-0.6110818971841102,-0.5578201412731991,0.5406728932137701,0.3159706073958905,-1.862606966754563,2.3375086444990965,0.4786343134385304,2.1950347798075023,0.9046632622063812,-0.15724941381996885,0.034579409432747364,0.37078708468244354
Ireland,-0.4060698487439112,0.08834101194143987,-0.2013344391103669,-0.25070471436266545,-0.004201068695901306,-0.16022654460516902,0.46296864367799323,-0.8006766970343794,1.6663129835217116,1.3432839563168804,-1.237041306315341,0.9820510828034973,-0.5493084622683225,-1.2082526404369702,0.14362473303480117,-1.6411077637407454,-0.6122093686016415,0.07188195853425947,0.2978590142727876,-0.013605931397007229
Greece,-0.4546303593147361,0.24779620959921803,0.2537804950505484,-0.31881009369031116,0.14206410415865386,-0.1933622029651148,0.20030161387822898,-1.41709666728181,-0.057150335676048554,-0.06426421294424335,-1.8346967578655082,-2.3795424968887464,-0.7275572746198942,-0.7265693214929225,0.7073793097449638,1.2804623397790724,0.02185451956832266,-2.22544326686719,-2.6191329241682273,0.49271022352815824
Spain,0.8905504956767806,0.5845569325400347,2.2571745692182477,-1.1721254122388545,1.3474050169961915,-0.7566795791210523,5.022748862162466,1.0655260528066184,-0.4231843565756181,-1.046277936895762,0.23783425683936624,0.44638105133321504,-0.5392502825890876,-0.06674688946978062,0.0936192375629349,-0.24998440646256614,0.05193367715738464,0.10743718904507492,-0.11784611028679372,-0.027549662952439716
France,3.6079310404145555,4.81358796596437,-0.01569564221726463,0.5070267920979702,0.38088183849356244,0.23367086222880665,-1.2521637970640882,-0.5473345945939964,0.07706338577306143,0.1707527455784039,0.18923981275267246,0.11491629992641064,-0.2729951366783311,0.12078583346380413,0.09306892924634998,-0.08252765155923586,-0.16444894764840143,0.015964052997770484,-0.05477303322768236,0.012596763082767814
