,IH,AIH,A,Kd,SV,R,SA,SE,Rb,Brg,BrgPRP,Th,ThMV,Drg,Frd,Crp,Br,ML,Acomp,OCGParticip
Belgium,-0.062317806461527174,1.0841084360937185,0.7186523190476434,4.0779827605212826e-17,0.3488359914429859,0.42939226929893626,0.266875525295105,0.2232512439328389,0.4499849028873632,0.10651837104203163,0.6449992564475743,0.10421736386951506,-0.03321472729299575,0.4253575666292966,0.15384207589324653,0.655190531883224,-0.4213093724015132,2.0961054237631336,1.286229574021731,0.15022969323602195
Bulgaria,-0.30747924426373957,-0.5694848753359596,-0.28933508175830025,-0.20620307199275886,-0.4433190242139581,-0.4199833685980658,-0.45435230283052724,0.0,-0.4406860035145499,-0.5709875324999667,-0.6281082616970783,-0.4405916630531604,-0.5360200895914247,-0.43882496140530136,-0.4816976771399598,-0.4989887622264474,-0.3712649607820523,-0.5661405000515294,-0.8710347431143118,-0.5086445589443531
Czechia,-0.33540902831715613,-0.5083036222923127,-0.2657746139044225,-0.306639955965375,-0.3606276832306607,-0.2959356727905676,-0.40497147401268646,-0.4647545838726055,-0.42044722252666233,-0.32438903612258946,-0.5940874126981373,-0.36227462865843063,-0.20801295385466897,-0.449859673050752,-0.43823220834346194,-0.13465454789584266,-0.37426762547921993,-0.3191680878349755,-0.5836932586022116,-0.7184206661407954
Denmark,-0.35402888435276725,-0.36724684444168243,-0.3043298410563957,4.0779827605212826e-17,0.005363257595978803,0.06356859279493676,-0.047406677391935825,-0.14375450932038644,-0.38860816463108316,-0.037299894162584855,0.35406838794632023,0.043599760320685965,-0.545049401956862,-0.03788694407764469,-0.12051423295979519,0.5267801354774249,-0.4763582251829202,-0.013855735724747605,-2.10924582536984e-16,-1.679491708219314e-16
Germany,1.7189817542785983,2.389308501024852,2.148667792617542,6.227496752767396,3.3418887888644164,1.923581873138689,4.081842026345701,5.381085640219669,2.2635771309239208,4.146422222610331,2.4533652094222163,3.3685624648832175,1.9230784050109755,5.060820453955338,5.098732896638465,0.6167279839031851,3.68433415685906,3.757821378401285,2.4611060554892856,0.9834249359035814
Estonia,-0.39747521510252637,-0.6017749811089955,-0.33855452067571296,-0.3224228948753576,-0.4674256524328177,-0.4099191215797216,-0.4991222711262202,0.0,-0.5138253380602086,0.0,-0.8102250229620285,-0.5255228282421123,-0.5540787143222995,-0.4573279171201868,-0.48049357085583455,-0.621644919170666,-0.44933424290841134,-0.579266986527606,-0.8230285386800869,-0.7627395620273677
Ireland,-0.4098884524596004,-0.591578105601721,-0.25896401712398975,-0.1703327562882531,-0.25513782563727905,-0.20512339736922924,-0.2913360727571734,-0.5188177543235055,-0.4076951450749446,-0.486657511998256,-1.5949372120800903e-16,-0.34905899749161756,-0.4106515602097742,-0.1753483588985272,-0.45269532405508117,-0.6443590223084842,0.0,0.0,-0.8657007203993979,-1.679491708219314e-16
Greece,-0.28575607888885995,-0.4046353879683556,-0.31550913997329644,-0.2176815730182007,-0.478451164563924,-0.40523807645491033,-0.5208379368111743,-0.6108291117255181,-0.31407021513910705,-0.43336763649984783,-0.5540603055640738,-0.29782158707425055,0.3310254183204511,-0.3182966469132802,-0.46517235641299964,-0.462343342497434,-0.42531292533107007,-0.572946826372458,-0.7970541671987671,0.39546091714172205
Spain,0.41248852244655504,1.0416214548134082,-0.03474848782307838,-0.21337713513366002,0.5418758902808305,-0.07194766356834906,0.8927626568176169,-0.15805005919923018,3.2007314164240306,1.0512464357690994,2.337492652844637,-0.11436892302114045,0.5941488414824929,-0.2529266493340846,2.001806134623638,-0.41540086267927623,-0.4423280252816868,-0.43876496461700754,0.5656726794461897,3.1195957176363667
France,1.6351924021183486,4.984413317626207,5.700479861471765,4.0779827605212826e-17,4.77100072145146,5.53454008241809,4.062059947331325,2.3293756197195847,4.265077390571597,3.841816650275019,-1.5949372120800903e-16,4.390797219325942,0.0,2.804846816352215,1.116172122347408,0.046452567789694865,-0.2851885727965795,0.33375307280839406,2.3198704105596093,4.106429799377377
